"Have * got forty points yet",Points
"Have we got forty points yet",Points
"How many points * got",Points
"How many points do * have",Points
"How many points do we have",Points
"How many points have * got?",Points
"How many points have we got?",Points
"How many points we got",Points
"What is our points",Points
"What is the points of *",Points
"What is the points we've got",Points
"What's *'s points score",Points
"What's our points",Points
"What's our points score",Points
"What's our total points tally",Points
