"bottom three?",Relegation
"bottom three teams",Relegation
"bottom 3?",Relegation
"bottom 3 teams",Relegation
"what teams are at the bottom",Relegation
"what teams are in the relegation zone",Relegation
"who is looking like getting relegated",Relegation
"who's battling relegation",Relegation
"who's for the drop",Relegation
"who's going down",Relegation
"who's going down to the the championship",Relegation
"who's headed for the championship",Relegation
"who's in the bottom three",Relegation
"who's in the drop zone",Relegation
"who's in the relagtion zone",Relegation
"who's in the relagation zone",Relegation
"who's playing championship football next year",Relegation
"who will be playing championship football",Relegation
"who's getting relegated",Relegation
"who's in danger",Relegation
"which teams are in the danger zone",Relegation
